sat,x,y,z,clk,dist,,,,
G01,13819.16914,-4894.81446,21848.17696,452.898138,26311.05244,,,,
G02,-14319.39277,-17167.37544,-13587.20897,-649.046966,26160.58172,,,,
G03,22296.02993,-11668.52042,8225.716598,-85.175596,26475.07758,,,,
G04,22539.40796,-1668.652009,-14013.1719,-194.129711,26592.82417,,,,
G05,-18184.98364,-1779.705014,-19490.3562,-68.489237,26715.81862,,,,g = gs
G06,-5383.353573,-25948.62037,-986.45548,175.918542,26519.51148,,,,r = glonass
G07,7006.84023,-20455.37241,-14710.57307,303.345805,26151.84564,,,,e = gallileo
G08,25835.76896,5707.199871,3899.917875,-52.836924,26744.50313,,,,
G09,13435.22273,-10716.85337,-20331.14031,-357.353458,26621.63448,,,,
G10,-6268.711359,20004.47678,16266.53009,-297.966471,26534.42735,,,,
G11,-12234.56438,-19030.18128,-13930.02618,-60.272774,26568.36454,,,,
G12,-22916.67726,8309.210483,10117.21122,-158.377782,26392.70806,,,,
G13,-22889.8969,-13478.72359,-2263.751926,248.088865,26659.85639,,,,
G14,7602.616244,-20059.70379,15614.04736,-73.012353,26532.80921,,,,
G15,-26245.85356,-2847.439063,3808.55303,-90.243534,26673.16656,,,,
G16,15618.73592,6424.601998,-20871.62487,-458.045187,26848.5595,,,,
G17,-1423.585598,-16203.825,21427.10189,563.77497,26901.88164,,,,
G18,-6814.324399,20934.19904,-14786.5275,257.47541,26520.12635,,,,
G19,-10318.96374,-17533.23011,16910.99549,107.821285,26455.18737,,,,
G20,-11138.71002,-11008.41756,-21464.64852,517.0967,26570.42066,,,,
G21,16600.96802,5442.011074,20846.63809,156.465126,27199.07982,,,,
G23,-15729.5438,20301.18308,6571.516599,9.47448,26509.27032,,,,
G24,-15927.51645,518.347896,20992.90536,277.055253,26356.33777,,,,
G25,-19760.14979,17513.55346,-493.548262,273.39453,26408.93152,,,,
G26,4997.974218,16028.09048,-20595.57657,175.897571,26571.73696,,,,
G27,22632.56936,12755.50061,-6633.350804,77.993625,26813.00682,,,,
G28,177.20181,-17422.72795,20636.15512,418.507955,27008.03118,,,,
G29,-16736.53117,6867.901338,-19510.50622,-469.504073,26607.13057,,,,
G30,873.435719,-25505.97182,-6817.59942,-507.898899,26415.85036,,,,
G31,6731.187731,25170.01214,-3740.971601,-160.759136,26321.72616,,,,
G32,6745.984116,16872.65322,19558.73753,-53.313569,26697.17105,,,,
R01,-20172.59913,-4381.274949,-14992.05843,7.128132,25512.56831,,,,
R02,-24636.175,4847.716145,4337.307805,507.058196,25480.4574,,,,
R03,-13348.23577,10660.94163,18960.06874,50.195062,25520.87932,,,,
R04,5101.261296,10162.90576,22859.34983,124.263712,25531.49809,,,,
